system:index,cellid,dry_area_m2,irr_area_m2,irr_prc,land_area_m2,year,.geo
0_00000000000000000039,9606,1.5304781047058823E9,0.0,0.0,1.5304781047058823E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003c,9757,1.5923026447058825E9,141554.11764705883,8.889110070647158E-5,1.5924441988235297E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000356,11753,1.6791659364705887E9,488700.0,2.909526693099789E-4,1.6796546364705887E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000008f2,14891,1.8101838600000002E9,2.5919629411764704E7,0.014116649503274247,1.8361034894117649E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000be8,17176,1.9816751788235292E9,0.0,0.0,1.9816751788235292E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000c3c,17822,1.8258878541176472E9,1.2246324705882354E7,0.00666236711496243,1.8381341788235295E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000c55,18419,2.031265655294118E9,7530300.0,0.0036935035016359323,2.038795955294118E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000c56,18449,1.6614800717647061E9,1.011325482352941E8,0.05737650297505194,1.7626126200000002E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000003a,9755,1.5706639799999995E9,0.0,0.0,1.5706639799999995E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000416,12172,1.632275248235294E9,1281801.1764705882,7.846687551758037E-4,1.6335570494117646E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000004ca,12571,1.7430017329411767E9,129600.0,7.434895899744202E-5,1.7431313329411767E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000094b,15101,1.7645986941176467E9,0.0,0.0,1.7645986941176467E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000a47,15727,1.9470907058823526E9,386100.0,1.9825653318888582E-4,1.9474768058823526E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000c44,18001,1.220442882352941E9,1.2910764705882352E7,0.010468015184996318,1.2333536470588233E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000148,10459,1.6077893964705882E9,0.0,0.0,1.6077893964705882E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000007e3,14261,1.6677517482352946E9,1835280.0,0.0010992418897383493,1.6695870282352946E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000b68,16722,1.9125853235294118E9,1.1520308117647061E8,0.056812180654115176,2.0277884047058823E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000be9,17177,1.9857848223529413E9,1.7566369411764704E7,0.008768492256363145,2.003351191764706E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000beb,17180,1.6342395282352943E9,439157.6470588235,2.6865074515960833E-4,1.634678685882353E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000fc,10247,1.6246557741176467E9,0.0,0.0,1.6246557741176467E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000000fd,10285,1.696450316470588E9,0.0,0.0,1.696450316470588E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000001e9,10913,1.678660912941177E9,0.0,0.0,1.678660912941177E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000023a,11097,1.6086563964705882E9,4122695.294117647,0.0025562678206638868,1.612779091764706E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000002a0,11436,1.705739844705882E9,0.0,0.0,1.705739844705882E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0000000000000000039f,11928,1.7461224035294118E9,580500.0,3.3234043341144837E-4,1.7467029035294118E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000004de,12696,1.8040508329411762E9,0.0,0.0,1.8040508329411762E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_000000000000000009a4,15435,1.9536842894117646E9,7614787.05882353,0.0038825221253489545,1.9612990764705882E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000b62,16712,2.1384637199999998E9,5513400.0,0.002571575950400068,2.1439771199999998E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000b63,16713,2.1934774588235292E9,1573200.0,7.167032768360711E-4,2.1950506588235292E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000b64,16714,2.18249442E9,8818969.411764706,0.004024513086251012,2.1913133894117646E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_00000000000000000b65,16715,2.1626870188235292E9,2.664296470588235E7,0.012169460477095972,2.189329983529412E9,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
