cellid,precipitation_m3
9394,1.7394817e+09
9550,5.679445e+09
9551,5.052039e+09
9552,3.716732e+09
9553,2.3742784e+09
9554,1.4901674e+09
9555,1.0930428e+09
9556,1.3335773e+09
9557,1.4240214e+09
9558,1.2453414e+09
9559,1.5882189e+09
9560,2.1116297e+09
9561,2.0776913e+09
9562,2.2266342e+09
9563,1.7796063e+09
9564,1.5560695e+09
9565,1.7770437e+09
9566,2.0807881e+09
9567,2.059887e+09
9568,1.2638522e+09
9569,9.2002266e+08
9570,8.715723e+08
9571,8.116449e+08
9572,8.2525024e+08
9573,8.657616e+08
9574,8.630262e+08
9575,1.02969376e+09
9576,9.0282586e+08
9577,8.3756794e+08
9578,8.879733e+08
9579,9.141329e+08
9580,9.136627e+08
9581,9.3804064e+08
9582,9.92421e+08
9583,9.6738995e+08
9584,9.778964e+08
9585,9.591651e+08
9586,1.0292633e+09
9587,1.042103e+09
9588,1.1005772e+09
9589,1.1772339e+09
9590,1.2129536e+09
9591,1.2364099e+09
9592,1.2770337e+09
9593,1.2875154e+09
9594,1.2581549e+09
9595,1.2627603e+09
9596,1.2271459e+09
9597,1.1763635e+09
9598,1.2740672e+09
9599,1.3156274e+09
9600,1.3863745e+09
9601,1.4632972e+09
9602,1.5016851e+09
9603,1.4752536e+09
9604,1.5503615e+09
9605,1.5513244e+09
9606,1.6417752e+09
9755,4.1987502e+09
9756,4.4943683e+09
9757,3.6003103e+09
9760,4.3255004e+09
9761,5.1245384e+09
9762,3.9855199e+09
9763,2.2155546e+09
9764,1.1669947e+09
9765,8.300927e+08
9766,9.2883437e+08
9767,1.0026893e+09
9768,1.1481558e+09
9769,1.305967e+09
9770,1.6957289e+09
9771,2.2489633e+09
9772,2.927321e+09
9773,2.1889823e+09
9774,1.5499508e+09
9775,1.3829774e+09
9776,1.859582e+09
9777,2.23223e+09
9778,1.6623013e+09
9779,1.1748929e+09
9780,8.27041e+08
9781,9.021992e+08
9782,8.697102e+08
9783,8.9035245e+08
9784,9.275441e+08
9785,1.0496253e+09
9786,1.1052319e+09
9787,1.07152096e+09
9788,9.870715e+08
9789,9.466527e+08
9790,9.72393e+08
9791,9.167855e+08
9792,9.1605696e+08
9793,9.5402643e+08
9794,9.750103e+08
9795,9.865102e+08
9796,9.561071e+08
9797,1.0329829e+09
9798,1.0985115e+09
9799,1.0929193e+09
9800,1.1166977e+09
9801,1.249714e+09
9802,1.3351788e+09
9803,1.3308457e+09
9804,1.3193229e+09
9805,1.3161341e+09
9806,1.3002418e+09
9807,1.2510267e+09
9808,1.3428209e+09
9809,1.3740969e+09
